DrugID,Smiles,Description,Targets,Targets_DrugBank,Smile
DB04571,CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1,"Trioxsalen (trimethylpsoralen, trioxysalen or trisoralen) is a furanocoumarin and a psoralen derivative obtained from several plants, mainly Psoralea corylifolia. Like other psoralens it causes photosensitization of the skin. It is administered either topically or orally in conjunction with UV-A (the least damaging form of ultraviolet light) for phototherapy treatment of vitiligo and hand eczema. The photoactivated form produces interstrand linkages in DNA resulting in cell apoptosis. In research it can be conjugated to dyes for confocal microscopy and used to visualize sites of DNA damage.[3] The compound is has been explored for development of antisense oligonucleotides that can be cross-linked specifically to a mutant mRNA sequence without affecting normal transcripts differing at even a single base pair.",not_have,BE0004796,8|83|85|99|113|114|137|178|196|221|280|303|330|362|401|424|510|530|560|563|629|660|694|713|717|775|846|861|880
DB00855,NCC(=O)CCC(O)=O,A compound produced from succinyl-CoA and glycine as an intermediate in heme synthesis. It is used as a photochemotherapy for actinic keratosis. [PubChem],P13716,BE0000050,45|97|149|151|156|243|295|456|501|537|603|666|716|717|718|806|816
DB09536,O=[Ti]=O,"Titanium dioxide, also known as titanium(IV) oxide or titania, is the naturally occurring oxide of titanium. It is used as a pigment under the names titanium white, Pigment White 6 (PW6), or CI 77891. It is typically extracted from ilmenite, rutile and anatase.",Q9UEW3,BE0009001,258|428|549|717
DB01600,CC(C(O)=O)C1=CC=C(S1)C(=O)C1=CC=CC=C1,"Tiaprofenic acid is a non-steroidal anti-inflammatory drug employed in the treatment of pain, particularly arthritis pain. It belongs to the _arylpropionic acid_ (profen) group of nonsteroidal anti-inflammatory drugs (NSAIDs).",P23219|P35354,BE0000017|BE0000262,45|114|127|135|152|156|170|187|254|307|308|320|368|395|424|444|456|468|482|540|544|564|569|626|679|717|730|775|791|816|823
DB09000,CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C#N,"Cyamemazine (Tercian), also known as cyamepromazine, is a typical antipsychotic drug of the phenothiazine class used primarily in the treatment of schizophrenia and psychosis-associated anxiety. Cyamemazine actually behaves like an atypical antipsychotic, due to its potent anxiolytic effects (5-HT2C) and lack of extrapyramidal side effects (5-HT2A).",not_have,not_have,45|48|109|114|127|141|170|187|237|238|259|271|286|324|347|368|408|424|447|448|453|464|482|485|511|515|544|557|564|608|655|679|704|716|728|753|765|775|807|846|848|852
DB11630,Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1,Temoporfin is a photosensitizing agent used in the treatment of squamous cell carcinoma of the head and neck [FDA Label]. It was first authorized for market by the European Medicines Agency in October 2001. It is currently available under the brand name Foscan.,not_have,not_have,16|18|98|114|152|206|226|236|295|342|376|412|424|427|443|456|457|465|475|538|549|557|559|563|564|597|672|675|678|679|687|725|727|737|788|845|846
DB00553,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2,"A naturally occurring furocoumarin compound found in several species of plants, including Psoralea corylifolia. It is a photoactive substance that forms DNA adducts in the presence of ultraviolet A irradiation.",not_have,BE0004796,9|26|59|63|67|83|113|114|136|176|178|262|298|329|330|339|424|493|510|517|563|581|633|679|706|707|710|717|775|846|880
DB06261,[H]N([H])CC(=O)CCC(=O)OCCCCCC,"Hexaminolevulinate is an optical imaging drug. In solution form it is instilled intravesically for use with photodynamic blue light cystoscopy as an adjunct to white light cystoscopy. On May 28, 2010, the U.S. Food and Drug Administration (FDA) granted approval for hexaminolevulinate hydrochloride (Cysview for Intravesical Solution, Photocure ASA), as an optical imaging agent for use in combination with the Karl Storz Photodynamic Diagnostic D-Light C (PDD) System for cystoscopic detection of non-muscle invasive papillary cancer of the bladder for patients suspected or known to have lesion(s) on the basis of a prior cystoscopy. Hexaminolevulinate is manufactured under the brand Cysview? by Photocure ASA. In Europe, Hexaminolevulinate is marketed under the brand Hexvix?.",not_have,not_have,6|18|45|64|87|97|149|243|295|298|301|410|430|482|537|545|588|603|623|666|697|711|714|716|717|775|806|816
DB01878,O=C(C1=CC=CC=C1)C1=CC=CC=C1,Benzophenone is the organic compound. Substituted benzophenones such as oxybenzone and dioxybenzone are used in sunscreen.,P03372|Q92731,BE0000123|BE0000792,45|114|135|215|368|395|424|482|564|569|679|717|816
DB00140,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,"Nutritional factor found in milk, eggs, malted barley, liver, kidney, heart, and leafy vegetables. The richest natural source is yeast. It occurs in the free form only in the retina of the eye, in whey, and in urine; its principal forms in tissues and cells are as flavin mononucleotide and flavin-adenine dinucleotide.",Q969G6|P0AFU8|P30043,BE0000370|BE0003327|BE0000595,9|48|56|87|97|109|113|114|149|170|206|236|253|300|303|334|359|399|418|424|456|483|498|500|536|549|554|581|616|664|665|672|694|708|713|716|717|728|744|757|761|775|781|827|846|847
DB00821,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1,"Carprofen is a non-steroidal anti-inflammatory drug (NSAID) that is used by veterinarians as a supportive treatment for the relief of arthritic symptoms in geriatric dogs. Carprofen was previously used in human medicine for over 10 years (1985-1995). It was generally well tolerated, with the majority of adverse effects being mild, such as gastro-intestinal pain and nausea, similar to those recorded with aspirin and other non-steroidal anti-inflammatory drugs. It is no longer marketed for human usage, after being withdrawn on commercial grounds.",P35354|P23219,BE0000262|BE0000017,45|55|114|156|163|170|206|236|242|260|286|294|303|308|376|424|427|456|485|502|540|544|560|605|626|675|679|708|717|759|775|785|816|835|846|861|862
DB08897,OC(C(=O)O[C@H]1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)(C1=CC=CS1)C1=CC=CS1,"Aclidinium is an anticholinergic for the long-term management of chronic obstructive pulmonary disease (COPD). It has a much higher propensity to bind to muscarinic receptors than nicotinic receptors. FDA approved on July 24, 2012.",P11229|P08172|P20309|P08173|P08912,BE0000092|BE0000560|BE0000045|BE0000405|BE0000247,18|31|45|91|101|114|183|187|207|222|284|298|299|317|326|329|350|371|395|396|409|414|424|446|456|468|475|482|503|520|544|564|566|607|621|623|661|679|702|703|716|717|722|737|742|754|795|810|816|829|846|855
DB00670,CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1,"An antimuscarinic agent that inhibits gastric secretion at lower doses than are required to affect gastrointestinal motility, salivary, central nervous system, cardiovascular, ocular, and urinary function. It promotes the healing of duodenal ulcers and due to its cytoprotective action is beneficial in the prevention of duodenal ulcer recurrence. It also potentiates the effect of other antiulcer agents such as cimetidine and ranitidine. It is generally well tolerated by patients.",P11229,BE0000092,40|45|73|83|85|109|113|114|139|171|213|216|234|236|245|267|293|294|306|317|328|343|372|395|407|424|448|463|478|482|548|564|601|672|679|685|716|717|737|739|769|775|780|799|816|845|852
DB01116,O=C1N(CC2=CC=CC=C2)C2C[S+]3CCCC3C2N1CC1=CC=CC=C1,"A nicotinic antagonist that has been used as a ganglionic blocker in hypertension, as an adjunct to anesthesia, and to induce hypotension during surgery.",Q9GZZ6,BE0000411,0|2|64|78|98|100|101|109|113|114|207|237|301|306|307|318|335|351|356|371|378|395|409|424|482|488|529|564|581|625|679|716|717|737|740|784|809|810|836
DB00391,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,"Sulpiride first appeared in published literature in 1967.[A229538] Clinical studies show a greater effect on treating the negative symptoms of schizophrenia rather than positive symptoms at low doses, though the effects are more equal at higher doses.[A229683] Sulpiride is not approved by the FDA, Health Canada, or the EMA; though it is approved in individual European countries.[L24679]",P14416|P35462|P00918|P07451|P21917,BE0000756|BE0000581|BE0000322|BE0003625|BE0000389,19|31|38|45|59|71|73|80|92|109|114|133|237|267|285|297|298|335|373|387|390|401|409|421|424|436|478|486|501|513|521|545|561|588|640|656|657|679|707|716|717|737|775|778|792|806|810|816|830|846|856
DB09076,OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2,"Umeclidinium is a long-acting muscarinic antagonist (LAMA) used as a maintenance treatment for symptoms of chronic obstructive pulmonary disease (COPD). COPD is a progressive obstructive lung disease characterized by shortness of breath, cough, sputum production, and chronically poor airflow with a forced expiratory volume in 1 second (FEV1) of less than 80%.[A7715] Maintenance of the airway is controlled by the parasympathetic nervous system, particularly by the abundance of the muscarinic subtype 3 (M3) in the airway smooth muscle.[A7719] Parasympathetic ganglia are associated with the larger airways while postganglionic fibers innervate the smaller diameter bronchioles contributing to airway resistance.[A7719] By blocking the M3 muscarinic receptor, umeclidinium inhibits the binding of acetylcholine and thereby opens up the airways by preventing bronchoconstriction.[A7719] However, even though umeclidinium monotherapy is well-tolerated for up to 14 days, it is more likely to be used in combination therapy, as the international Gold Initiative for Chronic Obstructive Lung Disease (GOLD) guidelines recommended the use of two long-acting bronchodilators with differing mechanisms of action to maximize efficacy and minimize adverse effects.[A7718,A7714] Umeclidinium was approved by the FDA in April 2014 under the brand name Incruse Ellipta as a standalone product.[L47042] Later, it was further approved as a combination product with [vilanterol] and [vilanterol]/[fluticasone furoate] under the brand name ANORO ELLIPTA and TRELEGY ELLIPTA respectively.[L44461,L44456]. ANORO ELLIPTA was approved in December 2013 while TRELEGY ELLIPTA was approved in September 2017.[L46881,L46886]",P08172|P20309|P11229|P08173|P08912,BE0000560|BE0000045|BE0000092|BE0000405|BE0000247,78|86|88|114|178|253|278|284|298|329|344|345|350|378|395|418|424|447|456|473|482|564|566|623|679|707|716|737|745|754|769|806|826|833|855|859
DB01071,C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=CC=CC=C12,"Mequitazine is a histamine H1 antagonist (antihistamine). It competes with histamine for the normal H1-receptor sites on effector cells of the gastrointestinal tract, blood vessels and respiratory tract. It provides effective, temporary relief of sneezing, watery and itchy eyes, and runny nose due to hay fever and other upper respiratory allergies.",P35367,BE0000442,73|109|114|127|141|187|237|238|242|271|294|318|347|351|370|409|424|447|448|482|515|564|608|679|702|716|719|737|810|843|852|873
DB01409,[H][C@]12O[C@@]1([H])[C@]1([H])C[C@@]([H])(C[C@@]2([H])[N+]1(C)C)OC(=O)C(O)(C1=CC=CS1)C1=CC=CS1,"Tiotropium is a long-acting, antimuscarinic bronchodilator used in the management of chronic obstructive pulmonary disease (COPD) and asthma.[A180163,L7084,L7087,L7090,L7093] Tiotropium acts mainly on M3 muscarinic receptors located in the airways to produce smooth muscle relaxation and bronchodilation.[A180163,L7084,L7087,L7090,L7093] Tiotropium is more specific for the subset of muscarinic receptors commonly found in the lungs than [ipratropium].[A180163] Tiotropium was granted FDA approval on 30 January 2004.[L7084]",P20309|P11229|P08172|P08173|P08912,BE0000045|BE0000092|BE0000560|BE0000405|BE0000247,20|45|52|61|63|91|101|109|114|139|187|207|222|284|298|317|396|405|414|416|424|456|468|520|540|563|564|578|607|625|679|710|717|737|742|754|775|797|810|816|829|855|860
DB00986,C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,"Glycopyrronium, also known as NVA237 or glycopyrrolate, is a racemic mixture of two enantiomers.[L33110] They are both quaternary ammonium compounds and long acting muscarinic antagonists.[L33110] It is one of the most commonly prescribed anticholinergic medications.[A233535,A233540] Early research into glycopyrronium use was for its indication as an adjunct therapy in the treatment of peptic ulcers.[A233570,L33090] Later research, taking advantage of the systemic distribution of muscarinic receptors through the body, found that glycopyrronium could also be used for reducing sweat gland,[L4755] oral,[L33140] airway, and gastric secretions;[L33120] as well as reducing cardiac inhibitory reflexes;[L33120] and reducing bronchoconstriction in COPD.[L33105] Glycopyrronium is commonly prescribed as a first line treatment for a wide variety indications and is considered to have a wider therapeutic window than [tiotropium].[A233565] Glycopyrronium was originally granted FDA approval on 11 August 1961.[L33090]",P11229|P20309|P08172|P08173|P08912,BE0000092|BE0000045|BE0000560|BE0000405|BE0000247,45|114|153|183|222|278|279|284|287|298|316|335|395|405|408|409|418|424|456|482|483|493|506|515|564|565|566|594|607|622|625|628|679|710|717|737|754|775|810|816|855
