y,y(count),interaction,new_y,sentence,explanation
46,18234,The metabolism of #drug can be decreased when combined with #drug.,0,metabolism be decrease,"Used with organs, cells and subcellular fractions, organisms, and diseases for biochemical changes. It is used also with drugs and chemicals for catabolic changes (breakdown of complex molecules into simpler ones). For anabolic processes (conversion of small molecules into large), BIOSYNTHESIS is used. For enzymology and pharmacokinetics use the specific subheadings."
48,9503,The risk or severity of adverse effects can be increased when #drug is combined with #drug.,1,adverse effects be increased,"Used with drugs, chemicals, or biological agents in accepted dosage - or with physical agents or manufactured products in normal usage - when intended for diagnostic, therapeutic, prophylactic, or anesthetic purposes. It is used also for adverse effects or complications of diagnostic, therapeutic, prophylactic, anesthetic, surgical, or other procedures."
72,5855,The serum concentration of #drug can be increased when it is combined with #drug.,2,serum concentration be increased,The clear portion of BLOOD that is left after BLOOD COAGULATION to remove BLOOD CELLS and clotting proteins.
69,5228,The therapeutic efficacy of #drug can be decreased when used in combination with #drug.,3,therapeutic efficacy be decrease,"The relative equivalency in the efficacy of different modes of treatment of a disease, most often used to compare the efficacy of different pharmaceuticals to treat a given disease."
3,4161,The metabolism of #drug can be increased when combined with #drug.,4,metabolism be increased,The chemical reactions in living organisms by which energy is provided for vital processes and activities and new material is assimilated.
32,4097,The risk or severity of QTc prolongation can be increased when #drug is combined with #drug.,5,QTc prolongation activities be increased,A condition that is characterized by episodes of fainting (SYNCOPE) and varying degree of ventricular arrhythmia as indicated by the prolonged QT interval. The inherited forms are caused by mutation of genes encoding cardiac ion channel proteins. The two major forms are ROMANO-WARD SYNDROME and JERVELL-LANGE NIELSEN SYNDROME.
59,3981,#drug may increase the hypotensive activities of #drug.,6,hypotensive activities be increased,Abnormally low BLOOD PRESSURE that can result in inadequate blood flow to the brain and other vital organs. Common symptom is DIZZINESS but greater negative impacts on the body occur when there is prolonged depravation of oxygen and nutrients.
15,3246,#drug may increase the central nervous system depressant (CNS depressant) activities of #drug.,7,central nervous system depressant activities be increased,"A very loosely defined group of drugs that tend to reduce the activity of the central nervous system. The major groups included here are ethyl alcohol, anesthetics, hypnotics and sedatives, narcotics, and tranquilizing agents (antipsychotics and antianxiety agents)."
71,2486,#drug may decrease the excretion rate of #drug which could result in a higher serum level.,8,excretion rate be decrease,"Excretion is elimination of metabolic waste, which is an essential process in all organisms. In vertebrates, this is primarily carried out by the lungs, kidneys, and skin."
36,2129,#drug may decrease the antihypertensive activities of #drug.,9,antihypertensive activities be decrease,"Drugs used in the treatment of acute or chronic vascular HYPERTENSION regardless of pharmacological mechanism. Among the antihypertensive agents are DIURETICS; (especially DIURETICS, THIAZIDE); ADRENERGIC BETA-ANTAGONISTS; ADRENERGIC ALPHA-ANTAGONISTS; ANGIOTENSIN-CONVERTING ENZYME INHIBITORS; CALCIUM CHANNEL BLOCKERS; GANGLIONIC BLOCKERS; and VASODILATOR AGENTS."
74,1977,The serum concentration of #drug can be decreased when it is combined with #drug.,10,serum concentration be decrease,The clear portion of BLOOD that is left after BLOOD COAGULATION to remove BLOOD CELLS and clotting proteins.
