interaction,new_y,sentence,explanation
#drug may increase the photosensitizing activities of #drug.,0,photosensitizing activities be increased,Drugs that are pharmacologically inactive but when exposed to ultraviolet radiation or sunlight are converted to their active metabolite to produce a beneficial reaction affecting the diseased tissue. These compounds can be administered topically or systemically and have been used therapeutically to treat psoriasis and various types of neoplasms.
#drug may increase the anticholinergic activities of #drug.,1,anticholinergic activities be increased,Anticholinergic effects are caused by drugs that block the action of acetylcholine. Acetylcholine is a chemical messenger (neurotransmitter) released by a nerve cell to transmit a signal to a neighboring nerve cell or a cell in a muscle or gland.
The bioavailability of #drug can be decreased when combined with #drug.,2,bioavailability be decrease,The extent to which the active ingredient of a drug dosage form becomes available at the site of drug action or in a biological medium believed to reflect accessibility to a site of action.
The metabolism of #drug can be increased when combined with #drug.,3,metabolism be increased,The chemical reactions in living organisms by which energy is provided for vital processes and activities and new material is assimilated.
#drug may decrease the vasoconstricting activities of #drug.,4,vasoconstricting activities be decrease,The physiological narrowing of BLOOD VESSELS by contraction of the VASCULAR SMOOTH MUSCLE.
#drug may increase the anticoagulant activities of #drug.,5,anticoagulant activities be increased,Agents that prevent BLOOD CLOTTING.
#drug may increase the ototoxic activities of #drug.,6,ototoxic activities be increased,Damage to the EAR or its function secondary to exposure to toxic substances such as drugs used in CHEMOTHERAPY; IMMUNOTHERAPY; or RADIATION.
The therapeutic efficacy of #drug can be increased when used in combination with #drug.,7,therapeutic efficacy be increased,"The relative equivalency in the efficacy of different modes of treatment of a disease, most often used to compare the efficacy of different pharmaceuticals to treat a given disease."
#drug may increase the hypoglycemic activities of #drug.,8,hypoglycemic activities be increased,A syndrome of abnormally low BLOOD GLUCOSE level. Clinical hypoglycemia has diverse etiologies. Severe hypoglycemia eventually lead to glucose deprivation of the CENTRAL NERVOUS SYSTEM resulting in HUNGER; SWEATING; PARESTHESIA; impaired mental function; SEIZURES; COMA; and even DEATH.
#drug may increase the antihypertensive activities of #drug.,9,antihypertensive activities be increased,"Drugs used in the treatment of acute or chronic vascular HYPERTENSION regardless of pharmacological mechanism. Among the antihypertensive agents are DIURETICS; (especially DIURETICS, THIAZIDE); ADRENERGIC BETA-ANTAGONISTS; ADRENERGIC ALPHA-ANTAGONISTS; ANGIOTENSIN-CONVERTING ENZYME INHIBITORS; CALCIUM CHANNEL BLOCKERS; GANGLIONIC BLOCKERS; and VASODILATOR AGENTS."
The serum concentration of the active metabolites of #drug can be reduced when #drug is used in combination with #drug resulting in a loss in efficacy.,10,serum concentration of the active metabolites be decreased,"An active metabolite is a substance produced by the metabolism of a drug that retains pharmacological activity and can contribute to prolonged or toxic effects of the drug, or even have drug actions of its own."
#drug may decrease the anticoagulant activities of #drug.,11,anticoagulant activities be decrease,Agents that prevent BLOOD CLOTTING.
The absorption of #drug can be decreased when combined with #drug.,12,absorption be decrease,"The physical or physiological processes by which substances, tissue, cells, etc. take up or take in other substances or energy."
#drug may decrease the bronchodilatory activities of #drug.,13,bronchodilatory activities be decrease,Agents that cause an increase in the expansion of a bronchus or bronchial tubes.
#drug may increase the cardiotoxic activities of #drug.,14,cardiotoxic activities be increased,Agents that have a damaging effect on the HEART. Such damage can occur from ALKYLATING AGENTS; FREE RADICALS; or metabolites from OXIDATIVE STRESS and in some cases is countered by CARDIOTONIC AGENTS. Induction of LONG QT SYNDROME or TORSADES DE POINTES has been the reason for viewing some drugs as?cardiotoxins.
#drug may increase the central nervous system depressant (CNS depressant) activities of #drug.,15,central nervous system depressant activities be increased,"A very loosely defined group of drugs that tend to reduce the activity of the central nervous system. The major groups included here are ethyl alcohol, anesthetics, hypnotics and sedatives, narcotics, and tranquilizing agents (antipsychotics and antianxiety agents)."
#drug may decrease the neuromuscular blocking activities of #drug.,16,neuromuscular blocking activities be decrease,"The intentional interruption of transmission at the NEUROMUSCULAR JUNCTION by external agents, usually neuromuscular blocking agents. It is distinguished from NERVE BLOCK in which nerve conduction (NEURAL CONDUCTION) is interrupted rather than neuromuscular transmission. Neuromuscular blockade is commonly used to produce MUSCLE RELAXATION as an adjunct to anesthesia during surgery and other medical procedures. It is also often used as an experimental manipulation in basic research. It is not strictly speaking anesthesia but is grouped here with anesthetic techniques. The failure of neuromuscular transmission as a result of pathological processes is not included here."
#drug can cause an increase in the absorption of #drug resulting in an increased serum concentration and potentially a worsening of adverse effects.,17,absorption be increased,"The physical or physiological processes by which substances, tissue, cells, etc. take up or take in other substances or energy."
